Category,Item Name,Price
Chinese Noodles & Rice,Chilli Garlic Noodles,210
Chinese Noodles & Rice,Veg. Singaporean Noodles,210
Chinese Noodles & Rice,Veg. Singaporean Rice,210
Chinese Noodles & Rice,Manchurian Fried Rice,210
Chinese Noodles & Rice,Veg. Fried Rice,220
Rajasthani Specilities,Dal Panchmel,275
Rajasthani Specilities,Aloo Pyaaz Ri Sabzi,315
Rajasthani Specilities,Aloo Pyaaz Paneer Ki Sabzi,345
Rajasthani Specilities,Bikaneri Kadhi Masala,265
Rajasthani Specilities,Jodhpuri Gatte Ri Sabzi,345
Rajasthani Specilities,Hara Pyaaz Mangodi Ri Sabzi,345
Rajasthani Specilities,Kair Sangri Ri Sabji,395
Rajasthani Specilities,Sev Tamatar Rasawala,295
Rajasthani Specilities,Jodhpuri Gatta Pulao,295
Rajasthani Specilities,Jaipuri Combo,345
Rajasthani Specilities,Ghoomar Special Thali,455
Indian Starter,Veg. Seekh Kebab,320
Indian Starter,Hara Bhara Kebab,340
Indian Starter,Dahi Ke Sholay,350
Indian Starter,Tandoori Paneer Tikka,320
Indian Starter,Achaari Paneer Tikka,330
Indian Starter,Hariyali Paneer Tikka,330
Indian Starter,Afghani Paneer Tikka,330
Indian Starter,Malai Paneer Tikka,360
Indian Starter,Tandoori Mushroom Malai Tikka,335
Indian Starter,Tandoori Mushroom Masala Tikka,335
Indian Starter,French Fries,140
Indian Starter,Peri Peri French Fries,160
Indian Starter,Mixed Pakoda,170
Indian Starter,Paneer Pakoda,180
Indian Starter,Guldasta Platter,580
Paneer Preprations,Paneer Do Pyaaza,325
Paneer Preprations,Kadhai Paneer,335
Paneer Preprations,Paneer Lababdar,335
Paneer Preprations,Palak Paneer,325
Paneer Preprations,Saag Paneer,375
Paneer Preprations,Paneer Butter Masala,335
Paneer Preprations,Matar Paneer,325
Paneer Preprations,Paneer Tikka Masala,365
Paneer Preprations,Paneer Bhurji,325
Paneer Preprations,Shahi Paneer,325
Paneer Preprations,Paneer Kali Mirch,335
Paneer Preprations,Achari Paneer,355
Paneer Preprations,Handi Paneer,345
Paneer Preprations,Yatra Special Paneer,395
Subziyon Ki Bahaar,Mix Vegetable,295
Subziyon Ki Bahaar,Kadhi Pakoda,265
Subziyon Ki Bahaar,Matar Mushroom,325
Subziyon Ki Bahaar,Mushroom Masala,335
Subziyon Ki Bahaar,Mushroom Do Pyaaza,325
Subziyon Ki Bahaar,Gobhi Masala,275
Subziyon Ki Bahaar,Aloo Gobhi,265
Subziyon Ki Bahaar,Dum Aloo,275
Subziyon Ki Bahaar,Jeera Aloo,265
Subziyon Ki Bahaar,Bhindi Masala,265
Subziyon Ki Bahaar,Bhindi Do Pyaaza,275
Subziyon Ki Bahaar,Sarson Ka Saag,295
Subziyon Ki Bahaar,Chana Masala,285
Subziyon Ki Bahaar,Malai Kofta,315
Subziyon Ki Bahaar,Baingan Bharta,275
Subziyon Ki Bahaar,Kaju Curry,355
Dal,Yellow Dal Fry,265
Dal,Punjabi Dal Tadka,295
Dal,Dal Makhani,285
Dal,Dhaba Dal Tadka,275
Rice,Steamed Rice,145
Rice,Jeera Rice,175
Rice,Mix Veg. Pulao,205
Rice,Veg. Biryani,275
Rice,Yatra Special Masala Khichdi,215
Roti,Tandoori Roti,30
Roti,Tandoori Butter Roti,35
Roti,Tawa Roti,30
Roti,Tawa Butter Roti,35
Roti,Missi Roti,65
Roti,Onion Missi Roti,75
Roti,Makka Roti,60
Roti,Tandoori Naan,80
Roti,Tandoori Butter Naan,85
Roti,Garlic Naan,135
Roti,Stuffed Naan,125
Roti,Laccha Parantha,85
Roti,Stuffed Parantha,140
Roti,Stuffed Kulcha,140
Raita,Plain Curd,110
Raita,Buttermilk,95
Raita,Sweet Lassi,110
Raita,Salted Lassi,110
Raita,Boondi Raita,160
Raita,Vegetable Raita,175
Raita,Pineapple Raita,175
Raita,Cucumber Raita,175
Raita,Special Hing Aloo Raita,150
Papad,Plain Papad,30
Papad,Fried Papad,35
Papad,Masala Papad,50
Salad,Green Salad,75
Salad,Onion Salad,50
Dessert,Gulab Jamun,50
Dessert,Ice Cream,40
Dessert,Vanilla Ice Cream With Chocolate Sauce,80
Dessert,Gondpak Halwa,100
Dessert,Moongdal Halwa,100
Dessert,Jalebi (100g),80
Dessert,Malai Gulab Kheer,100
Dessert,Rabdi,75
Thali,Punjabi Special Thali,350
Thali,Punjabi Premium Thali,425
Others,Open Item,0
Classic Beverages,Cold Drink (750ml Bottle),0
Classic Beverages,Cold Drink (750ml Bottle) (Diet Coke),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Coca Cola),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Thums Up),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Fanta),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Sprite),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Pepsi),38.1
Classic Beverages,Cold Drink (750ml Bottle) (7Up),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Mirinda),38.1
Classic Beverages,Cold Drink (750ml Bottle) (Mountain Dew),38.1
Rajasthani Specilities,Extra Bati,30
Others,Skill Games,19.05
Others,Camel Ride,47.62
Others,Champi Maalish,19.05
Others,Mehendi,19.05
Indian Starter,Aloo Tikki,47.62
Indian Starter,Chhola Bhatura,114.29
Indian Starter,Pav Bhaji,95.24
Indian Starter,Moongdal Mangodi,38.1
Indian Starter,Dahi Vada,38.1
Indian Starter,Kachori,38.1
Indian Starter,Mirchi Vada,47.62
Indian Starter,Dahi Jalebi,66.67
Indian Starter,Rabdi Jalebi,76.19
Indian Starter,Golgappe,28.57
Indian Starter,Dahi Wale Golgappe,47.62
